Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773096129	0	0	0	0	0	68956	72200	0	201680	6592	0	88	0	384	3	384	3	0	0	1	1
1773096131	2	0	0	0	0	98250	101612	0	201680	6592	0	88	0	1722	14	1722	14	0	0	1	1
1773096133	4	0	0	0	0	98250	101612	0	201680	6592	0	88	0	2865	22	2865	22	0	0	1	1
1773096135	6	0	0	0	0	98250	101612	0	201680	6592	0	88	0	4325	35	4325	35	0	0	1	1
1773096137	8	0	0	0	0	98250	101612	0	201680	6592	0	88	0	5349	41	5349	41	0	0	1	1
1773096139	10	0	0	0	0	98250	101612	0	201680	6592	0	88	0	6738	53	6738	53	0	0	1	1
1773096141	12	0	0	0	0	98250	101612	0	201680	6592	0	88	0	8146	65	8146	65	0	0	1	1
1773096143	14	0	0	0	0	98250	101612	0	201680	6592	0	88	0	9289	73	9289	73	0	0	1	1
1773096145	16	0	0	0	0	98250	101612	0	201680	6592	0	88	0	10749	86	10749	86	0	0	1	1
1773096147	18	0	0	0	0	98250	101612	0	201680	6592	0	88	0	11773	92	11773	92	0	0	1	1
1773096149	20	0	0	0	0	98250	101612	0	201680	6592	0	88	0	12987	101	12987	101	0	0	1	1
1773096151	22	0	0	0	0	98250	101612	0	201680	6592	0	88	0	14324	112	14324	112	0	0	1	1
1773096153	24	0	0	0	0	98250	101612	0	201680	6592	0	88	0	15467	120	15467	120	0	0	1	1
1773096155	26	0	0	0	0	98250	101612	0	201680	6592	0	88	0	16979	134	16979	134	0	0	1	1
1773096157	28	0	0	0	0	98250	101612	0	201680	6592	0	88	0	18126	142	18126	142	0	0	1	1
1773096159	30	0	0	0	0	98250	101612	0	201680	6592	0	88	0	19340	151	19340	151	0	0	1	1
1773096161	32	0	0	0	0	98250	101612	0	201680	6592	0	88	0	20748	163	20748	163	0	0	1	1
1773096163	34	0	0	0	0	98250	101612	0	201680	6592	0	88	0	21891	171	21891	171	0	0	1	1
