Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773095518	0	0	0	0	0	68438	71652	0	201680	6592	0	88	0	258	2	258	2	0	0	1	1
1773095520	2	0	0	0	0	98244	101576	0	201680	6592	0	88	0	2084	18	2084	18	0	0	1	1
1773095522	4	0	0	0	0	98244	101576	0	201680	6592	0	88	0	3108	24	3108	24	0	0	1	1
1773095524	6	0	0	0	0	98244	101576	0	201680	6592	0	88	0	4991	36	4991	36	0	0	1	1
1773095526	8	0	0	0	0	98244	101576	0	201680	6592	0	88	0	6328	47	6328	47	0	0	1	1
1773095528	10	0	0	0	0	98244	101576	0	201680	6592	0	88	0	7471	55	7471	55	0	0	1	1
1773095530	12	0	0	0	0	98244	101576	0	201680	6592	0	88	0	8808	66	8808	66	0	0	1	1
1773095532	14	0	0	0	0	98244	101576	0	201680	6592	0	88	0	9832	72	9832	72	0	0	1	1
1773095534	16	0	0	0	0	98244	101576	0	201680	6592	0	88	0	10923	79	10923	79	0	0	1	1
1773095536	18	0	0	0	0	98244	101576	0	201680	6592	0	88	0	12260	90	12260	90	0	0	1	1
1773095538	20	0	0	0	0	98244	101576	0	201680	6592	0	88	0	13403	98	13403	98	0	0	1	1
1773095540	22	0	0	0	0	98244	101576	0	201680	6592	0	88	0	14811	110	14811	110	0	0	1	1
1773095542	24	0	0	0	0	98244	101576	0	201680	6592	0	88	0	16133	121	16133	121	0	0	1	1
1773095544	26	0	0	0	0	98244	101576	0	201680	6592	0	88	0	17276	129	17276	129	0	0	1	1
1773095546	28	0	0	0	0	98244	101576	0	201680	6592	0	88	0	18613	140	18613	140	0	0	1	1
1773095548	30	0	0	0	0	98244	101576	0	201680	6592	0	88	0	19756	148	19756	148	0	0	1	1
1773095550	32	0	0	0	0	98244	101576	0	201680	6592	0	88	0	21216	161	21216	161	0	0	1	1
1773095552	34	0	0	0	0	98244	101576	0	201680	6592	0	88	0	22240	167	22240	167	0	0	1	1
1773095554	36	0	0	0	0	98244	101576	0	201680	6592	0	88	0	24246	181	24246	181	0	0	1	1
1773095556	38	0	0	0	0	98244	101576	0	201680	6592	0	88	0	25583	192	25583	192	0	0	1	1
1773095558	40	0	0	0	0	98244	101576	0	201680	6592	0	88	0	26726	200	26726	200	0	0	1	1
1773095560	42	0	0	0	0	98244	101576	0	201680	6592	0	88	0	27940	209	27940	209	0	0	1	1
1773095562	44	0	0	0	0	98244	101576	0	201680	6592	0	88	0	29087	217	29087	217	0	0	1	1
1773095564	46	0	0	0	0	98244	101576	0	201680	6592	0	88	0	30178	224	30178	224	0	0	1	1
1773095566	48	0	0	0	0	98244	101576	0	201680	6592	0	88	0	31638	237	31638	237	0	0	1	1
1773095568	50	0	0	0	0	98244	101576	0	201680	6592	0	88	0	32781	245	32929	247	0	0	1	1
1773095570	52	0	0	0	0	98244	101576	0	201680	6592	0	88	0	40633	272	39009	275	0	0	1	1
1773095572	54	0	0	0	0	98244	101576	0	201680	6592	0	88	0	41709	279	40085	282	0	0	1	1
1773095574	56	0	0	0	0	98244	101576	0	201680	6592	0	88	0	42965	289	41341	292	0	0	1	1
1773095576	58	0	0	0	0	98244	101576	0	201680	6592	0	88	0	44548	304	42924	307	0	0	1	1
1773095578	60	0	0	0	0	98244	101576	0	201680	6592	0	88	0	45691	312	44067	315	0	0	1	1
1773095580	62	0	0	0	0	98244	101576	0	201680	6592	0	88	0	47028	323	45404	326	0	0	1	1
1773095582	64	0	0	0	0	98244	101576	0	201680	6592	0	88	0	48052	329	46428	332	0	0	1	1
1773095584	66	0	0	0	0	98244	101576	0	201680	6592	0	88	0	49812	339	48188	342	0	0	1	1
1773095586	68	0	0	0	0	98244	101576	0	201680	6592	0	88	0	51272	352	49648	355	0	0	1	1
1773095588	70	0	0	0	0	98244	101576	0	201680	6592	0	88	0	52415	360	50791	363	0	0	1	1
1773095590	72	0	0	0	0	98244	101576	0	201680	6592	0	88	0	53875	373	52251	376	0	0	1	1
1773095592	74	0	0	0	0	98244	101576	0	201680	6592	0	88	0	54899	379	53275	382	0	0	1	1
1773095594	76	0	0	0	0	98244	101576	0	201680	6592	0	88	0	56113	388	54489	391	0	0	1	1
1773095596	78	0	0	0	0	98244	101576	0	201680	6592	0	88	0	57521	400	55897	403	0	0	1	1
1773095598	80	0	0	0	0	98244	101576	0	201680	6592	0	88	0	58664	408	57040	411	0	0	1	1
1773095600	82	0	0	0	0	98244	101576	0	201680	6592	0	88	0	60299	424	58675	427	0	0	1	1
1773095602	84	0	0	0	0	98244	101576	0	201680	6592	0	88	0	61323	430	59699	433	0	0	1	1
1773095604	86	0	0	0	0	98244	101576	0	201680	6592	0	88	0	62414	437	60790	440	0	0	1	1
