Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773106336	0	0	0	0	0	821	3924	0	6368	6592	0	54	0	0	0	0	0	0	0	1	1
1773106338	1	0	0	0	0	821	3924	0	6368	6592	0	54	0	5138	24	5138	24	0	1	1	1
1773106340	3	0	0	0	0	821	3924	0	6368	6592	0	54	0	9652	43	9652	43	0	3	1	1
1773106342	5	0	0	0	0	821	3924	0	6368	6592	0	54	0	14274	64	14274	64	0	6	1	1
1773106344	7	0	0	0	0	821	3924	0	6368	6592	0	54	0	18836	84	18836	84	0	8	1	1
1773106346	9	0	0	0	0	821	3924	0	6368	6592	0	54	0	23518	106	23518	106	0	10	1	1
1773106348	11	0	0	0	0	821	3924	0	6368	6592	0	54	0	28136	127	28136	127	0	12	1	1
1773106350	13	0	0	0	0	821	3924	0	6368	6592	0	54	0	32825	149	32825	149	0	14	1	1
1773106352	15	0	0	0	0	821	3924	0	6368	6592	0	54	0	37201	166	37201	166	0	16	1	1
1773106354	17	0	0	0	0	821	3924	0	6368	6592	0	54	0	42261	186	42261	186	0	18	1	1
1773106356	19	0	0	0	0	821	3924	0	6368	6592	0	54	0	46898	207	46898	207	0	20	1	1
1773106358	21	0	0	0	0	821	3924	0	6368	6592	0	54	0	51393	226	51393	226	0	22	1	1
1773106360	22	0	0	0	0	821	3924	0	6368	6592	0	54	0	54854	242	54854	242	0	23	1	1
1773106362	24	0	0	0	0	821	3924	0	6368	6592	0	54	0	60567	266	60567	266	0	25	1	1
1773106364	26	0	0	0	0	821	3924	0	6368	6592	0	54	0	65612	286	65612	286	0	27	1	1
1773106366	28	0	0	0	0	821	3924	0	6368	6592	0	54	0	70452	311	70452	311	0	29	1	1
1773106368	30	0	0	0	0	821	3924	0	6368	6592	0	54	0	74828	328	74828	328	0	31	1	1
1773106370	32	0	0	0	0	821	3924	0	6368	6592	0	54	0	79394	348	79394	348	0	33	1	1
1773106372	34	0	0	0	0	821	3924	0	6368	6592	0	54	0	84385	374	84385	374	0	35	1	1
1773106374	36	0	0	0	0	821	3924	0	6368	6592	0	54	0	89576	395	89576	395	0	38	1	1
1773106376	38	0	0	0	0	821	3924	0	6368	6592	0	54	0	94799	425	94799	425	0	40	1	1
1773106378	40	0	0	0	0	821	3924	0	6368	6592	0	54	0	99343	445	99343	445	0	42	1	1
1773106380	42	0	0	0	0	821	3924	0	6368	6592	0	54	0	104103	468	104103	468	0	44	1	1
1773106382	44	0	0	0	0	821	3924	0	6368	6592	0	54	0	128842	559	128842	559	0	46	1	1
1773106384	46	0	0	0	0	821	3924	0	6368	6592	0	54	0	133166	575	133166	575	0	48	1	1
1773106386	48	0	0	0	0	821	3924	0	6368	6592	0	54	0	137812	596	137812	596	0	50	1	1
1773106388	50	0	0	0	0	821	3924	0	6368	6592	0	54	0	142479	618	142479	618	0	52	1	1
1773106390	52	0	0	0	0	821	3924	0	6368	6592	0	54	0	147168	640	147168	640	0	54	1	1
1773106393	54	0	0	0	0	821	3924	0	6368	6592	0	54	0	166693	698	166693	698	0	56	1	1
1773106395	55	0	0	0	0	821	3924	0	6368	6592	0	54	0	171634	716	171634	716	0	58	1	1
1773106397	57	0	0	0	0	821	3924	0	6368	6592	0	54	0	176271	737	176271	737	0	60	1	1
1773106399	59	0	0	0	0	821	3924	0	6368	6592	0	54	0	180931	759	180931	759	0	62	1	1
1773106401	61	0	0	0	0	821	3924	0	6368	6592	0	54	0	185568	780	185568	780	0	64	1	1
1773106403	63	0	0	0	0	821	3924	0	6368	6592	0	54	0	190011	798	190011	798	0	66	1	1
1773106405	65	0	0	0	0	821	3924	0	6368	6592	0	54	0	194570	818	194570	818	0	68	1	1
1773106407	67	0	0	0	0	821	3924	0	6368	6592	0	54	0	199311	841	199311	841	0	70	1	1
1773106409	69	0	0	0	0	821	3924	0	6368	6592	0	54	0	203754	859	203754	859	0	72	1	1
1773106411	71	0	0	0	0	821	3924	0	6368	6592	0	54	0	208566	883	208566	883	0	74	1	1
1773106413	73	0	0	0	0	821	3924	0	6368	6592	0	54	0	215230	907	215230	907	0	77	1	1
1773106415	75	0	0	0	0	821	3924	0	6368	6592	0	54	0	220417	929	220417	929	0	79	1	1
1773106417	77	0	0	0	0	788	3924	0	6368	6592	0	54	0	224964	949	224964	949	0	81	1	1
1773106419	79	0	0	0	0	821	3924	0	6368	6592	0	54	0	229584	970	229584	970	0	83	1	1
1773106421	81	0	0	0	0	821	3924	0	6368	6592	0	54	0	234169	990	234169	990	0	85	1	1
1773106423	83	0	0	0	0	821	3924	0	6368	6592	0	54	0	239333	1012	239333	1012	0	87	1	1
1773106425	85	0	0	0	0	821	3924	0	6368	6592	0	54	0	243851	1031	243851	1031	0	89	1	1
1773106427	86	0	0	0	0	821	3924	0	6368	6592	0	54	0	248436	1051	248436	1051	0	90	1	1
1773106429	88	0	0	0	0	821	3924	0	6368	6592	0	54	0	252827	1068	252827	1068	0	92	1	1
1773106431	90	0	0	0	0	821	3924	0	6368	6592	0	54	0	257345	1087	257345	1087	0	94	1	1
1773106433	92	0	0	0	0	821	3924	0	6368	6592	0	54	0	262170	1112	262170	1112	0	96	1	1
1773106435	94	0	0	0	0	821	3924	0	6368	6592	0	54	0	266671	1131	266671	1131	0	98	1	1
1773106437	96	0	0	0	0	821	3924	0	6368	6592	0	54	0	271416	1154	271416	1154	0	100	1	1
1773106439	98	0	0	0	0	821	3924	0	6368	6592	0	54	0	277037	1194	277037	1194	0	102	1	1
1773106441	100	0	0	0	0	788	3924	0	6368	6592	0	54	0	281607	1214	281607	1214	0	104	1	1
1773106443	102	0	0	0	0	821	3924	0	6368	6592	0	54	0	286102	1233	286102	1233	0	106	1	1
1773106445	104	0	0	0	0	821	3924	0	6368	6592	0	54	0	290616	1252	290616	1252	0	108	1	1
1773106447	106	0	0	0	0	821	3924	0	6368	6592	0	54	0	295302	1274	295302	1274	0	111	1	1
1773106449	108	0	0	0	0	821	3924	0	6368	6592	0	54	0	300533	1297	300533	1297	0	113	1	1
1773106451	110	0	0	0	0	821	3924	0	6368	6592	0	54	0	305226	1319	305226	1319	0	115	1	1
