Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773169615	0	0	0	0	0	581	4056	0	129308	6592	0	54	0	0	0	0	0	0	1	1	16
1773169618	3	0	0	0	0	583	4056	0	129308	6592	0	54	0	11817	58	11817	58	0	22	1	16
1773169621	6	0	0	0	0	583	4056	0	129308	6592	0	54	0	12487	64	12487	64	0	48	1	16
1773169624	9	0	0	0	0	583	4056	0	129308	6592	0	54	0	13038	68	13038	68	0	73	1	16
1773169627	12	0	0	0	0	583	4056	0	129308	6592	0	54	0	32486	148	32486	148	0	98	1	16
1773169630	15	0	0	0	0	583	4056	0	129308	6592	0	54	0	54364	194	54364	194	0	122	1	16
1773169633	18	0	0	0	0	581	4056	0	129308	6592	0	54	0	115112	218	115112	218	0	145	1	16
1773169636	21	0	0	0	0	583	4056	0	129308	6592	0	54	0	134031	288	134031	288	0	172	1	16
1773169639	24	0	0	0	0	583	4056	0	129308	6592	0	54	0	134701	294	134701	294	0	195	1	16
1773169642	26	0	0	0	0	581	4056	0	129308	6592	0	54	0	949795	344	949795	344	0	215	1	16
1773169645	28	0	0	0	0	580	4056	0	129308	6592	0	54	0	962258	380	962258	380	0	233	1	16
1773169648	31	0	0	0	0	581	4056	0	129308	6592	0	54	0	981194	451	981194	451	0	258	1	16
1773169651	34	0	0	0	0	583	4056	0	129308	6592	0	54	0	981864	457	981864	457	0	283	1	16
1773169654	37	0	0	0	0	583	4056	0	129308	6592	0	54	0	982296	459	982296	459	0	308	1	16
1773169657	40	0	0	0	0	583	4056	0	129308	6592	0	54	0	983510	475	983510	475	0	334	1	16
1773169660	44	0	0	0	0	583	4056	0	129308	6592	0	54	0	984061	479	984061	479	0	359	1	16
1773169663	46	0	0	0	0	583	4056	0	129308	6592	0	54	0	984612	483	984612	483	0	382	1	16
1773169666	49	0	0	0	0	583	4056	0	129308	6592	0	54	0	989985	496	989985	496	1	407	1	16
1773169669	52	0	0	0	0	581	4056	0	129308	6592	0	54	0	990417	498	990417	498	1	432	1	16
1773169672	55	0	0	0	0	583	4056	0	129308	6592	0	54	0	991087	504	991087	504	1	457	1	16
1773169675	58	0	0	0	0	583	4056	0	129308	6592	0	54	0	993684	511	993774	512	1	482	1	16
