Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773171539	0	0	0	0	0	34904	38196	0	260272	6592	0	88	0	0	0	0	0	0	0	1	1
1773171542	3	0	0	0	0	127362	130780	0	260272	6592	0	88	0	1478	9	1478	9	0	0	1	1
1773171545	6	0	0	0	0	127364	130780	0	260272	6592	0	88	0	2982	23	2982	23	0	0	1	1
1773171548	9	0	0	0	0	127364	130780	0	260272	6592	0	88	0	4859	44	4859	44	0	0	1	1
1773171551	12	0	0	0	0	127364	130780	0	260272	6592	0	88	0	6576	61	6490	60	0	0	1	1
1773171554	13	0	0	0	0	127364	130780	0	260272	6592	0	88	0	7686	68	7600	67	0	0	1	1
1773171557	16	0	0	0	0	127362	130780	0	260272	6592	0	88	0	9138	81	9052	80	0	0	1	1
1773171560	19	0	0	0	0	127362	130780	0	260272	6592	0	88	0	10763	98	10677	97	0	0	1	1
1773171563	22	0	0	0	0	127364	130780	0	260272	6592	0	88	0	12271	112	12185	111	0	0	1	1
1773171566	25	0	0	0	0	127364	130780	0	260272	6592	0	88	0	18426	132	18340	131	0	0	1	1
1773171569	28	0	0	0	0	127362	130780	0	260272	6592	0	88	0	20536	148	20450	147	0	0	1	1
1773171572	31	0	0	0	0	127364	130780	0	260272	6592	0	88	0	861508	347	861644	349	0	0	1	1
1773171575	34	0	0	0	0	127364	130780	0	260272	6592	0	88	0	862841	358	862977	360	0	0	1	1
1773171578	37	0	0	0	0	127364	130780	0	260272	6592	0	88	0	864718	379	864854	381	0	0	1	1
1773171581	40	0	0	0	0	127364	130780	0	260272	6592	0	88	0	887594	487	887730	489	0	0	1	1
1773171584	43	0	0	0	0	127364	130780	0	260272	6592	0	88	0	888860	497	888996	499	0	0	1	1
1773171587	45	0	0	0	0	127364	130780	0	260272	6592	0	88	0	890331	510	890467	512	0	0	1	1
1773171590	47	0	0	0	0	127362	130780	0	260272	6592	0	88	0	893766	525	893902	527	0	0	1	1
1773171593	50	0	0	0	0	127364	130780	0	260272	6592	0	88	0	916674	634	916810	636	0	0	1	1
1773171596	53	0	0	0	0	127364	130780	0	260272	6592	0	88	0	918059	646	918195	648	0	0	1	1
1773171599	56	0	0	0	0	127364	130780	0	260272	6592	0	88	0	920236	663	920372	665	0	0	1	1
1773171602	59	0	0	0	0	127364	130780	0	260272	6592	0	88	0	943045	770	943181	772	0	0	1	1
