Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773105695	0	0	0	0	0	776	3856	0	153832	6592	0	1093716	1093632	0	0	0	0	0	0	1	3
1773105697	2	0	0	0	0	776	3856	0	153832	6592	0	59170900	59170816	936	8	936	8	0	0	1	3
1773105699	4	0	0	0	0	776	3856	0	153832	6592	0	117194836	117194752	1376	10	1376	10	0	0	1	3
1773105701	6	0	0	0	0	776	3856	0	153832	6592	0	172003412	172003328	1935	14	1935	14	1	0	1	3
1773105703	8	0	0	0	0	776	3856	0	153832	6592	0	229519444	229519360	2494	18	2494	18	1	0	1	3
1773105705	10	0	0	0	0	776	3856	0	153832	6592	0	239992916	239992832	2934	20	2934	20	1	0	1	3
1773105707	12	0	0	0	0	776	3856	0	153832	17340864	0	240001108	240001024	3612	26	3612	26	2	0	1	3
1773105709	14	0	0	0	0	776	3856	0	153832	73906624	0	240001108	240001024	4052	28	4052	28	2	0	1	3
1773105711	16	0	0	0	0	776	3856	0	153832	131975616	0	240001108	240001024	4611	32	4611	32	2	0	1	3
1773105713	18	0	0	0	0	776	3856	0	153832	186145216	0	240001108	240001024	5170	36	5170	36	3	0	1	3
1773105715	20	0	0	0	0	776	3856	0	153832	235784640	0	240001108	240001024	5774	41	5774	41	3	0	1	3
1773105717	22	0	0	0	0	776	3856	0	153832	240007616	0	240001108	240001024	6452	47	6452	47	3	0	1	3
1773105720	24	0	0	0	0	796	3984	0	153832	240007616	0	240001108	240001024	6982	50	6982	50	3	0	1	1
1773105722	26	0	0	0	0	796	3984	0	153832	240007616	0	240001108	240001024	7422	52	7422	52	3	0	1	1
