Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773104860	0	0	0	0	0	1240	4052	0	30956	6592	0	53	0	0	0	0	0	0	0	1	4
1773104862	2	0	0	0	0	1240	4052	0	30956	6592	0	53	0	827	6	917	7	0	6	1	4
1773104864	2	0	0	0	0	1240	4052	0	30956	6592	0	53	0	1367	9	1367	9	0	10	1	4
1773104866	4	0	0	0	0	1240	4052	0	30956	6592	0	53	0	1817	11	1817	11	0	18	1	4
1773104868	6	0	0	0	0	1240	4052	0	30956	6592	0	53	0	2547	18	2547	18	0	26	1	4
1773104870	8	0	0	0	0	1240	4052	0	30956	6592	0	53	0	3039	21	3039	21	0	35	1	4
1773104872	10	0	0	0	0	1183	4052	0	30956	6592	0	53	0	3608	25	3608	25	0	44	1	4
1773104874	12	0	0	0	0	1240	4052	0	30956	6592	0	53	0	4177	29	4177	29	0	52	1	4
1773104876	14	0	0	0	0	1240	4052	0	30956	6592	0	53	0	4627	31	4627	31	0	60	1	4
1773104878	16	0	0	0	0	1240	4052	0	30956	6592	0	53	0	5315	37	5315	37	0	68	1	4
1773104880	18	0	0	0	0	1240	4052	0	30956	6592	0	53	0	5765	39	5765	39	0	77	1	4
1773104882	20	0	0	0	0	1240	4052	0	30956	6592	0	53	0	6334	43	6334	43	0	85	1	4
1773104884	22	0	0	0	0	1240	4052	0	30956	6592	0	53	0	6903	47	6903	47	0	93	1	4
1773104886	24	0	0	0	0	1240	4052	0	30956	6592	0	53	0	7517	52	7517	52	0	102	1	4
1773104888	26	0	0	0	0	1240	4052	0	30956	6592	0	53	0	8205	58	8205	58	0	110	1	4
1773104890	28	0	0	0	0	1240	4052	0	30956	6592	0	53	0	8655	60	8655	60	0	118	1	4
1773104892	30	0	0	0	0	1240	4052	0	30956	6592	0	53	0	9224	64	9224	64	0	128	1	4
1773104894	32	0	0	0	0	1240	4052	0	30956	6592	0	53	0	9793	68	9793	68	0	135	1	4
1773104897	34	0	0	0	0	1240	4052	0	30956	6592	0	53	0	10333	71	10333	71	0	143	1	4
1773104899	36	0	0	0	0	1240	4052	0	30956	6592	0	53	0	10902	75	10902	75	0	148	1	4
1773104901	38	0	0	0	0	1240	4052	0	30956	6592	0	53	0	11471	79	11471	79	0	157	1	4
1773104903	40	0	0	0	0	1215	4052	0	30956	6592	0	53	0	12005	83	12005	83	0	165	1	4
1773104905	42	0	0	0	0	1240	4052	0	30956	6592	0	53	0	29126	95	29126	95	0	174	1	4
1773104907	44	0	0	0	0	1240	4052	0	30956	6592	0	53	0	29576	97	29576	97	0	182	1	4
1773104909	46	0	0	0	0	1240	4052	0	30956	6592	0	53	0	30145	101	30145	101	0	190	1	4
1773104911	48	0	0	0	0	1240	4052	0	30956	6592	0	53	0	30714	105	30714	105	0	199	1	4
1773104913	50	0	0	0	0	1240	4052	0	30956	6592	0	53	0	31164	107	31164	107	0	207	1	4
1773104915	52	0	0	0	0	1240	4052	0	30956	6592	0	53	0	32016	116	32016	116	0	215	1	4
1773104917	54	0	0	0	0	1240	4052	0	30956	6592	0	53	0	32466	118	32466	118	0	224	1	4
1773104919	56	0	0	0	0	1240	4052	0	30956	6592	0	53	0	33035	122	33035	122	0	232	1	4
