Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773172414	0	0	0	0	0	730	6664	0	127480	6592	0	53	0	1080	3	1080	3	0	1	2	16
1773172417	2	0	0	0	0	730	6664	0	127480	6592	0	53	0	5467	32	5467	32	0	19	2	16
1773172420	5	0	0	0	0	730	6664	0	127480	6592	0	53	0	12249	59	12249	59	0	45	2	16
1773172423	8	0	0	0	0	730	6664	0	127480	6592	0	53	0	14630	83	14630	83	0	71	2	16
1773172426	11	0	0	0	0	728	6664	0	127480	6592	0	53	0	37678	193	37678	193	0	97	2	16
1773172429	14	0	0	0	0	730	6664	0	127480	6592	0	53	0	39182	207	39182	207	0	122	2	16
1773172432	17	0	0	0	0	730	6664	0	127480	6592	0	53	0	40813	222	40813	222	0	147	2	16
1773172435	20	0	0	0	0	730	6664	0	127480	6592	0	53	0	64095	335	64095	335	0	173	2	16
1773172438	22	0	0	0	0	730	6664	0	127480	6592	0	53	0	66616	355	66616	355	0	186	2	16
1773172441	24	0	0	0	0	730	6664	0	127480	6592	0	53	0	68572	373	68572	373	0	208	2	16
1773172444	27	0	0	0	0	730	6664	0	127480	6592	0	53	0	70745	395	70745	395	0	232	2	16
1773172447	31	0	0	0	0	730	6664	0	127480	6592	0	53	0	129618	550	129618	550	0	257	2	16
1773172450	34	0	0	0	0	730	6664	0	127480	6592	0	53	0	131630	569	131630	569	0	283	2	16
1773172453	36	0	0	0	0	730	6664	0	127480	6592	0	53	0	133630	589	133630	589	0	307	2	16
1773172456	39	0	0	0	0	724	6664	0	127480	6592	0	53	0	160988	673	160988	673	0	332	2	16
1773172459	42	0	0	0	0	730	6664	0	127480	6592	0	53	0	202833	795	202833	795	0	358	2	16
1773172462	45	0	0	0	0	730	6664	0	127480	6592	0	53	0	204646	814	204646	814	0	384	2	16
1773172465	48	0	0	0	0	730	6664	0	127480	6592	0	53	0	236421	849	236335	848	0	409	2	16
1773172468	51	0	0	0	0	728	6664	0	127480	6592	0	53	0	286358	893	286272	892	0	434	2	16
1773172472	54	0	0	0	0	730	6664	0	127480	6592	0	53	0	287952	908	287866	907	0	456	2	16
